"21971","1","21","1","21","ปิด","5000000"
"21988","1","16","1","16","ปิด","7400000"
"22010","1","12","1","12","ปิด","7400000"
"22046","1","5","1","5","ปิด","7400000"
"22115","1","15","1","15","ปิด","7400000"
"22128","1","237","4","235","ปิด","3000000"
"22145","1","20","2","20","ปิด","3000000"
"22177","1","12","1","12","ปิด","7400000"
"22191","1","31","1","31","ปิด","3000000"
"22208","1","24","2","24","ปิด","3000000"
"22225","1","16","2","16","ปิด","7400000"
"22242","1","5","1","5","ปิด","7400000"
"22259","1","15","1","15","ปิด","7400000"
"22276","1","30","1","30","ปิด","3000000"
"22293","1","29","1","29","ปิด","3000000"
"23417","1","68","2","68","ปิด","10521900"
"23568","1","156","3","155","ปิด","10521900"
"23599","1","126","1","126","ปิด","10521900"
"23624","1","2","1","2","ปิด","10521900"
"23642","1","286","1","286","ปิด","10521900"
"23661","1","65","1","65","ปิด","10521900"
"23679","1","3","1","3","ปิด","10521900"
"23696","1","5","1","5","ปิด","10521900"
"23713","1","1","1","1","ปิด","10521900"
"23730","1","2","1","2","ปิด","10521900"
"24172","1","230","3","229","ปิด","0"
"24189","1","86","2","86","ปิด","0"
"24205","1","113","2","113","ปิด","0"
"24348","1","174","1","174","ปิด","0"
"24365","1","73","2","73","ปิด","0"
"24384","1","283","10","275","ปิด","0"
"24401","1","73","2","73","ปิด","0"
"24420","1","67","3","66","ปิด","0"
"24437","1","77","2","77","ปิด","0"
"24454","1","39","2","39","ปิด","0"
"24471","1","100","2","100","ปิด","0"
"24496","1","97","3","96","ปิด","0"
"24537","1","64","1","64","ปิด","0"
"24591","1","23","2","23","ปิด","0"
"24608","1","20","2","20","ปิด","0"
